sample_id,stratum,orig_idx,cityname,state,price,square_feet,bedrooms,bathrooms,amenity_count,price_vs_zori_ratio,snorkel_proba_scam,snorkel_label,lfs_fired,title,body,true_label,note
1,top50,388,Glen Burnie,MD,1028.0,542,1.0,1.0,4,0.5705174994667086,0.9999979188990944,1,zori_low(SCAM); price_anomaly(SCAM); auto_template_body(NOT_SCAM),One BR 362 Klagg Ct,"This unit is located at 362 Klagg Ct, Glen Burnie, 21061, MDMonthly rental rates range from $1028 - $1608We have one - three beds units available for rent",not_scam,"aggregator-platform listing, body shows price range = building floor price"
2,top50,743,Spring Hill,FL,600.0,250,1.0,1.0,1,0.4549316428328713,0.9999979188990944,1,zori_low(SCAM); price_anomaly(SCAM); auto_template_body(NOT_SCAM),One BR Bishop Road,"This unit is located at Bishop Road, Spring Hill, 34608, FLMonthly rental rates range from $600We have 1 beds units available for rent Apartment features include:-- Furnished- Pool",not_scam,"aggregator-platform listing, body shows price range = building floor price"
3,top50,4977,Fort Collins,CO,785.0,250,1.0,1.0,0,0.547584312671327,0.9999979188990944,1,zori_low(SCAM); price_anomaly(SCAM); auto_template_body(NOT_SCAM),One BR Finch Ct,"This unit is located at Finch Ct, Fort Collins, 80525, COMonthly rental rates range from $785We have 1 beds units available for rent Apartment features include:-- Furnished",not_scam,"aggregator-platform listing, body shows price range = building floor price"
4,top50,6301,Concord,CA,930.0,250,1.0,1.0,0,0.4223640211233538,0.9999979188990944,1,zori_low(SCAM); price_anomaly(SCAM); auto_template_body(NOT_SCAM),One BR Torino Court,"This unit is located at Torino Court, Concord, 94518, CAMonthly rental rates range from $930We have 1 beds units available for rent Apartment available amenities:-- Furnished",not_scam,"aggregator-platform listing, body shows price range = building floor price"
5,top50,1664,Lorton,VA,850.0,250,1.0,1.0,1,0.4916651762986751,0.9999979188990944,1,zori_low(SCAM); price_anomaly(SCAM); auto_template_body(NOT_SCAM),One BR Duck Hawk Way,"This unit is located at Duck Hawk Way, Lorton, 22079, VAMonthly rental rates range from $850We have 1 beds units available for rent Apartment features include:-- Pool- Furnished",not_scam,"aggregator-platform listing, body shows price range = building floor price"
6,top50,401,Bloomington,IN,550.0,470,3.0,1.0,4,0.4918803340225952,0.9999951410919988,1,zori_low(SCAM); auto_template_body(NOT_SCAM),Studio apartment 2663 E. 7th Street,"This unit is located at 2663 E. seventh Street, Bloomington, 47408, INMonthly rental rates range from $550 - $970We have studio - 3 beds units available for rent Apartment features include:-- Trash Removal Included- Refrigerator- Balcony, Deck, Patio- On-Site Laundry- Fitness facilities- Furnished- Water Included- On Bus Line",not_scam,"aggregator-platform listing, body shows price range = building floor price"
7,top50,6849,Marina Del Rey,CA,1600.0,250,1.0,1.0,1,0.4983529574198247,0.9999979188990944,1,zori_low(SCAM); price_anomaly(SCAM); auto_template_body(NOT_SCAM),One BR Via Marina,"This unit is located at Via Marina, Marina Del Rey, 90292, CAMonthly rental rates range from $1600We have 1 beds units available for rent Apartment available amenities:-- Pool- Furnished",not_scam,"aggregator-platform listing, body shows price range = building floor price"
8,top50,198,Meridian,ID,646.0,656,1.0,1.0,3,0.4981242068360074,0.9999951410919988,1,zori_low(SCAM); auto_template_body(NOT_SCAM),One BR 1103 W. Pine Avenue,"This unit is located at 1103 W. Pine Avenue, Meridian, 83642, IDMonthly rental rates range from $646We have 1 beds units available for rent Apartment features include:-- Dishwasher- Balcony, Deck, Patio- On-Site Laundry- Air conditioned- Sheltered parking- Business facility- Fitness facilities",not_scam,"aggregator-platform listing, body shows price range = building floor price"
9,top50,4459,Woodbridge,VA,850.0,250,1.0,1.0,1,0.6048474581444734,0.9999979188990944,1,zori_low(SCAM); price_anomaly(SCAM); auto_template_body(NOT_SCAM),One BR Gordon Blvd,"This unit is located at Gordon Blvd, Woodbridge, 22192, VAMonthly rental rates range from $850We have 1 beds units available for rent Apartment features include:-- Furnished- Pool",not_scam,"aggregator-platform listing, body shows price range = building floor price"
10,top50,5669,Riverview,FL,865.0,219,1.0,1.0,1,0.5918185614476708,0.9999979188990944,1,zori_low(SCAM); price_anomaly(SCAM); auto_template_body(NOT_SCAM),One BR Windmill Cove Dr,"This unit is located at Windmill Cove Dr, Riverview, 33569, FLMonthly rental rates range from $865We have 1 beds units available for rent Apartment available amenities:-- Pool- Furnished",not_scam,"aggregator-platform listing, body shows price range = building floor price"
11,top50,6322,Torrance,CA,1300.0,250,1.0,1.0,1,0.5832049025884706,0.9999979188990944,1,zori_low(SCAM); price_anomaly(SCAM); auto_template_body(NOT_SCAM),One BR Spencer Street #404,"This unit is located at Spencer Street #404, Torrance, 90503, CAMonthly rental rates range from $1300We have 1 beds units available for rent Apartment available amenities:-- Pool",not_scam,aggregator-platform listing or standard income-verification language
12,top50,50584,San Francisco,CA,1400.0,1100,3.0,2.0,0,0.3723044931113261,0.9999979188990944,1,zori_low(SCAM); price_anomaly(SCAM); auto_template_body(NOT_SCAM),Three BR 340 Fremont,"This unit is located at 340 Fremont, San Francisco, 94105, CAMonthly rental rates range from $1400We have 3 beds units available for rent",scam,SF Financial District (94105) 3BR for $1400 is impossible by any explanation; promoted from unsure
13,top50,5004,Germantown,MD,750.0,250,1.0,1.0,1,0.4087824399527117,0.9999979188990944,1,zori_low(SCAM); price_anomaly(SCAM); auto_template_body(NOT_SCAM),One BR Grey Eagle Court,"This unit is located at Grey Eagle Court, Germantown, 20874, MDMonthly rental rates range from $750We have 1 beds units available for rent Apartment features include:-- Pool- Furnished",not_scam,aggregator-platform listing or standard income-verification language
14,top50,5011,Sarasota,FL,860.0,250,1.0,1.0,1,0.5771495779750683,0.9999979188990944,1,zori_low(SCAM); price_anomaly(SCAM); auto_template_body(NOT_SCAM),One BR Mauna Loa Boulevard,"This unit is located at Mauna Loa Boulevard, Sarasota, 34241, FLMonthly rental rates range from $860We have 1 beds units available for rent Apartment features include:-- Pool",not_scam,aggregator-platform listing or standard income-verification language
15,top50,153,Parsippany,NJ,1425.0,650,1.0,1.0,0,0.6126883296252604,0.9999951410919988,1,zori_low(SCAM); auto_template_body(NOT_SCAM),One BR 300 Parsippany Rd,"This unit is located at 300 Parsippany Rd, Parsippany, 07054, NJMonthly rental rates range from $1425 - $1825We have one - two beds units available for rent",not_scam,aggregator-platform listing or standard income-verification language
